description,smarts,rule_set_name
R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",Glaxo
R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",Glaxo
R3 Carbazides,O=CN=[N+]=[N-],Glaxo
R4 Sulphate esters,"COS(=O)O[C,c]",Glaxo
R5 Sulphonates,"COS(=O)(=O)[C,c]",Glaxo
R6 Acid anhydrides,C(=O)OC(=O),Glaxo
R7 Peroxides,OO,Glaxo
R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),Glaxo
R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,Glaxo
R10 esters of HOBT,C(=O)Onnn,Glaxo
R11 Isocyanates & Isothiocyanates,"N=C=[S,O]",Glaxo
R12 Triflates,OS(=O)(=O)C(F)(F)F,Glaxo
R13 lawesson's reagent and derivatives,P(=S)(S)S,Glaxo
R14 phosphoramides,NP(=O)(N)N,Glaxo
R15 Aromatic azides,cN=[N+]=[N-],Glaxo
R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",Glaxo
R17 acylhydrazide,[N;R0][N;R0]C(=O),Glaxo
"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]",Glaxo
R19 Phosphoranes,C=P,Glaxo
R20 Chloramidines,[Cl]C([C&R0])=N,Glaxo
R21 Nitroso,[N&D2](=O),Glaxo
R22 P/S Halides,"[P,S][Cl,Br,F,I]",Glaxo
R23 Carbodiimide,N=C=N,Glaxo
R24 Isonitrile,[N+]#[C-],Glaxo
R25 Triacyloximes,C(=O)N(C(=O))OC(=O),Glaxo
R26 Cyanohydrins,N#CC[OH],Glaxo
R27 Acyl cyanides,N#CC(=O),Glaxo
R28 Sulfonyl cyanides,S(=O)(=O)C#N,Glaxo
R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N,Glaxo
R30 Azocyanamides,[N;R0]=[N;R0]C#N,Glaxo
R31 Azoalkanals,[N;R0]=[N;R0]CC=O,Glaxo
I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],Glaxo
I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",Glaxo
I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],Glaxo
I4 Disulphides,SS,Glaxo
I5 Thiols,[SH],Glaxo
"I6 Epoxides, Thioepoxides, Aziridines","C1[O,S,N]C1",Glaxo
"I7 2,4,5 trihydroxyphenyl",c([OH])c([OH])c([OH]),Glaxo
"I8 2,3,4 trihydroxyphenyl",c([OH])c([OH])cc([OH]),Glaxo
I9 Hydrazothiourea,N=NC(=S)N,Glaxo
I10 Thiocyanate,SC#N,Glaxo
I11 Benzylic quaternary Nitrogen,cC[N+],Glaxo
I12 Thioesters,"C[O,S;R0][C;R0](=S)",Glaxo
I13 Cyanamides,N[CH2]C#N,Glaxo
I14 Four membered lactones,C1(=O)OCC1,Glaxo
I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH],Glaxo
I16 Betalactams,N1CCC1=O,Glaxo
N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,Glaxo
N2 Polyenes,C=CC=CC=CC=C,Glaxo
N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2,Glaxo
N4 Cytochalasin derivatives,O=C1NCC2CCCCC21,Glaxo
N5 Cycloheximide derivatives,O=C1CCCC(N1)=O,Glaxo
N6 Monensin derivatives,O1CCCCC1C2CCCO2,Glaxo
N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,Glaxo
N8 Squalestatin derivatives,C12OCCC(O1)CC2,Glaxo
> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]",Dundee
2-halo pyridine,"n1c([F,Cl,Br,I])cccc1",Dundee
acid halide,"C(=O)[Cl,Br,I,F]",Dundee
acyclic C=C-O,C=[C!r]O,Dundee
acyl cyanide,N#CC(=O),Dundee
acyl hydrazine,C(=O)N[NH2],Dundee
aldehyde,[CH1](=O),Dundee
Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],Dundee
alkyl halide,"[CX4][Cl,Br,I]",Dundee
amidotetrazole,c1nnnn1C=O,Dundee
aniline,c1cc([NH2])ccc1,Dundee
azepane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee
Azido group,N=[N+]=[N-],Dundee
Azo group,N#N,Dundee
azocane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee
benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2",Dundee
beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)",Dundee
biotin analogue,C12C(NC(N1)=O)CSC2,Dundee
Carbocation/anion,"[C+,c+,C-,c-]",Dundee
catechol,"c1c([OH])c([OH,NH2,NH])ccc1",Dundee
charged oxygen or sulfur atoms,"[O+,o+,S+,s+]",Dundee
chinone,"C1(=[O,N])C=CC(=[O,N])C=C1",Dundee
chinone,"C1(=[O,N])C(=[O,N])C=CC=C1",Dundee
conjugated nitrile group,C=[C!r]C#N,Dundee
crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]",Dundee
cumarine,c1ccc2c(c1)ccc(=O)o2,Dundee
cyanamide,N[CH2]C#N,Dundee
cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N",Dundee
cyanohydrins,N#CC[OH],Dundee
cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee
cycloheptane,[CR2]1[CR2][CR2]cc[CR2][CR2]1,Dundee
cyclooctane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee
cyclooctane,[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1,Dundee
diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1",Dundee
diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1",Dundee
diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])",Dundee
diazo group,[N!R]=[N!R],Dundee
diketo group,"[C,c](=O)[C,c](=O)",Dundee
disulphide,SS,Dundee
enamine,[CX2R0][NX3R0],Dundee
ester of HOBT,C(=O)Onnn,Dundee
four member lactones,C1(=O)OCC1,Dundee
halogenated ring,"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]",Dundee
halogenated ring,"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]",Dundee
heavy metal,"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]",Dundee
het-C-het not in ring,"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]",Dundee
hydantoin,C1NC(=O)NC(=O)1,Dundee
hydrazine,N[NH2],Dundee
hydroquinone,"[OH]c1ccc([OH,NH2,NH])cc1",Dundee
hydroxamic acid,C(=O)N[OH],Dundee
imine,C=[N!R],Dundee
imine,"N=[CR0][N,n,O,S]",Dundee
iodine,I,Dundee
isocyanate,N=C=O,Dundee
isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]",Dundee
ketene,C=C=O,Dundee
"methylidene-1,3-dithiole",S1C=CSC1=S,Dundee
Michael acceptor,"C=!@CC=[O,S]",Dundee
Michael acceptor,"[$([CH]),$(CC)]#CC(=O)[C,c]",Dundee
Michael acceptor,"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]",Dundee
Michael acceptor,C=C(C=O)C=O,Dundee
Michael acceptor,"[$([CH]),$(CC)]#CC(=O)O[C,c]",Dundee
N oxide,"[NX2,nX3][OX1]",Dundee
"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O,Dundee
N-C-halo,"NC[F,Cl,Br,I]",Dundee
N-halo,"[NX3,NX4][F,Cl,Br,I]",Dundee
N-hydroxyl pyridine,n[OH],Dundee
nitro group,[N+](=O)[O-],Dundee
N-nitroso,[#7]-N=O,Dundee
oxime,"[C,c]=N[OH]",Dundee
oxime,"[C,c]=NOC=O",Dundee
Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]",Dundee
perfluorinated chain,[CX4](F)(F)[CX4](F)F,Dundee
